Name	CoL ID	E_Rj (J/cm^3)	F_m (l/d.cm^2)	kap_X (-)	s_G (-)	h_a (1/d^2)	kap_P (-)	kap_R (-)	kap_V (-)	p_M (J/d.cm^3)	k_E (1/d)	E_G (J/cm^3)	p_T (J/d.cm^2)	s_j (-)	t_sj (d)	E_Hj (J)	E_He (J)	E_Hb (J)	k_J (1/d)	E_Hx (J)	E_Hp (J)	E_Hs (J)	p_Am (J/d.cm^2)	kap (-)	v (cm/d)	t_0 (d)
Anguilla anguilla	b81dfd849eb83bca1705a2f0c0e671dd		6.5	0.8	0.0001	1.342e-08	0.1	0.95		22.92	0.05	5222.0	0.0		20.3			0.04857	0.002		12590.0	0.0005	301.111	0.9157	0.06093	
Anguis fragilis	9d72c2c8f700a5af8c9c3265f68859c7		6.5	0.8	0.0001	3.168e-10	0.1	0.95		36.24		7827.0	0.0					1168.0	0.002		18860.0		159.06	0.64	0.02748	
Anthus pratensis	eb78a0bc492c93711d4c1ca8426d71d9		6.5	0.8	0.01	2.05e-20	0.1	0.95		1013.0		7315.68	0.0					36.37	0.002		20870.0		2184.29	0.99399	0.22654	
Aotus trivirgatus	1dd3fb0f05b62d171f7075d02a6f0478		6.5	0.8	0.05	1.553e-30	0.1	0.95		59.2		7850.0	0.0					274500.0	0.002	1807000.0	8290000.0		748.064	0.624	0.157	127.3
Apatosaurus spec	4a0bffea523beea537741425173e651f		6.5	0.8	0.5	1.114e-16	0.1	0.95		19.13		7845.0	0.0					468200.0	0.002		325300000.0		2261.2	0.923	0.02304	
Aphanius fasciatus	ca3b317c12ad025398bec05b234d8a98		0.0004343	0.005009	0.0001	4.875e-08	0.8	0.95		10.51		5241.0	0.0					2.164	0.002		171.7		25.2604	0.7614	0.03548	
Aphrastura spinicauda	fc5861eec01a70a052c61fd549cbe59c		6.5	0.8	0.01	4.372e-35	0.1	0.95		800.0		7311.15	0.0					1245.0	0.002		253600.0		1711.6	0.91582	0.42124	
Aplysia californica	79cd7dad3cdb7a458fa58a0a77eb939c		6.5	0.8	0.0001	1.219e-06	0.1	0.475		180.5		3948.0	0.0			3993.0		0.004399	0.002		235400.0	0.05363	57.9286	0.8522	0.0116	
Aporrectodea longa	6ba7cb1f971e29fa5b0489de565d4109		6.5	0.8	0.0001	1.413e-09	0.1	0.95		243.6		4168.0	0.0					3.087	0.002		1009.0		363.727	0.9758	0.1665	
Apteryx mantelli	a2d2e28e381809c970138675ba310656		6.5	0.8	0.05	1.878e-26	0.1	0.95		22.7939		7321.0	0.0					909100.0	0.002		9184000.0		476.767	0.51024	0.077626	
Apus apus	9623ca15e5c36c273a9e571b97ba8107		6.5	0.8	0.01	9.097e-50	0.1	0.95		608.169		7310.72	0.0					87.27	0.002		26090.0		1810.03	0.99516	0.57068	
Aquila chrysaetos	5047c9307611462730f7230818a6788a		6.5	0.8	0.01	3.143e-51	0.1	0.95		231.821		7320.89	0.0					648800.0	0.002		204800000.0		8318.38	0.36498	1.1718	
Arapaima gigas	a8f83fea3aa2f1d343cc2b193eacfdcc		6.5	0.8	0.0001	9.977e-10	0.1	0.95		28.99		5223.0	0.0					0.259	0.002		366100.0		758.335	0.9905	0.03239	
Archaeopteryx lithographica	b9239f5c1ac241577326804d5d856bf6		6.5	0.8	0.5	4.559e-19	0.1	0.95		27.15		7827.0	0.0					33080.0	0.002		1325000.0		261.487	0.7565	0.02527	
Arctica islandica	5c0583f70d0785993185a7411b8a4cae		12.0	0.7	0.0001	3.609e-12	0.1	0.95		2.792		2354.0	0.0			9.367e-07		1.906e-09	0.002		0.5052		4.81926	0.999945	0.01266	
Ardeotis kori	185f3057c97c4f10fd7a1c483282d5a1		6.5	0.8	0.05	2.815e-19	0.1	0.95		215.985		7321.07	0.0					1642.0	0.0019548		1145000.0		2381.75	0.99067	0.058421	
Arenicola marina	8981bb1d5f3ba68ed39eec35e0104438		6.5	0.8	0.0001	7.856e-08	0.1	0.95		255.42		4184.0	0.0					1.15e-06	0.002		843.6		514.939	0.997	0.16274	
Argopecten purpuratus	be54afd1d214780315c063fa0def0756		12.0	0.8	0.0001	5.544e-08	0.1	0.95		51.68		2374.0	0.0			0.0004535		2.859e-06	0.002		75.57		51.8661	0.9719	0.03876	
Argyrosomus regius	27622ae481976a389f0364896073477f		6.5	0.8	0.0001	4.364e-09	0.1	0.95		7.586		5251.0	0.0			31.49		0.1663	0.002		2093000.0		62.5809	0.9049	0.07804	
Asellus aquaticus	4acab09868db831471b70493b88c5cc0		6.5	0.8	0.0001	9.045e-08	0.1	0.95		146.6		4400.0	0.0					0.02171	0.002		0.2386		53.3397	0.9581	0.1757	
Aspidiophorus polystictos	88edfcced5860e504db0c2d25d801715		6.5	0.8	0.0001	0.0001914	0.1	0.95		981.4		1307.0	0.0					1.798e-05	0.002		8.432e-05		5.9039	0.57	0.005143	
Asplanchna girodi	7ef4175c71766debbf941dc6e2476c02		6.5	0.8	0.0001	2.029e-25	0.1	0.95		2083.0		915.9	0.0					0.006749	0.002		0.1183		158.351	0.3111	0.172	
Asterias rubens	ff6711281e27917bc07b75a921bc2f40		6.5	0.89	0.0001	6.088e-06	0.1	0.95		31.36		2501.0	0.0			0.0006996		4.745e-06	0.002		0.8555		75.1949	0.998	0.01336	
Asterina gibbosa	9bb47cd93065ef4d4f6c5761a3577c47		6.5	0.8	0.0001	7.637e-08	0.1	0.475		12.04		2854.0	0.0			0.03866		0.03865	0.002		21.11		26.7322	0.917	0.02318	
Atherina presbyter	8aa69a96e25e63f574382883df9016f5		6.5	0.8	0.0001	5.235e-07	0.1	0.95		35.83		5185.0	0.0			11.27		3.468	0.002		4162.0		121.404	0.6546	0.02951	
Atractosteus spatula	d3a4b7c1f41f1e5cc48d060d5ec1e28f		6.5	0.8	0.0001	1.862e-10	0.1	0.95		28.65		5220.0	0.0					0.4422	0.002		7206000.0		882.624	0.954	0.0404	
Balaeniceps rex	16bde12b82a99c26cf61f1229cd3f41a		6.5	0.8	0.01	4.352e-65	0.1	0.95		115.682		7300.06	0.0					27850.0	0.002		8571000.0		2138.1	0.97385	2.5047	
Balaenoptera acutorostrata	03989edf0baedd8ab5478fca2ad3b410		6.5	0.8	0.1	6.901e-13	0.1	0.95		32.4066		7840.05	0.0					227000000.0	0.002	583500000.0	6178000000.0		4718.56	0.62976	0.070469	0.0
Balaenoptera musculus	64d8253f41d376fdd1f902527ed187c7		6.5	0.8	0.5	4.593e-23	0.1	0.95		41.68		7841.0	0.0					111400000.0	0.002	448400000.0	4194000000.0		9854.84	0.9698	0.119	0.0
Belone belone	6b4ff497ef77437ec9fad307c08c99a6		6.5	0.8	0.0001	1.307e-08	0.1	0.95		40.73		5211.0	0.0					0.02362	0.002		1104.0		255.702	0.9785	0.01254	
Beroe gracilis	d2a147385e1eacebb447e4f9e1558f1e		6.5	0.8	0.0001	2.046e-05	0.1	0.475		42.57		260.0	0.0			0.3103		0.0002311	0.002		4.512		6.01237	0.7661	0.07853	
Beroe ovata	c70014071bb5de21dca3ec0d826bb274		18.73	0.8	0.0001	0.000150131	0.1	0.475		16.623		259.984	0.0			0.0358646		0.00387769	0.002		27.5751		30.6455	0.672393	0.0239711	
Biomphalaria glabrata	dda69fe8d4ca69ea96e9656a8f4ad747		6.5	0.8	0.0001	5.001e-07	0.1	0.475		868.8		3950.0	0.0			363.3		0.4955	0.002		1060.0		184.841	0.541	0.02103	
Boa constrictor	253bb4ac5026b77a3adf9b78516913b9		6.5	0.8	0.0001	8.763e-11	0.1	0.95		45.88		7836.0	0.0					98880.0	0.002		8259000.0		1237.79	0.6216	0.0229	
Bolinopsis mikado	266955574f36a9262c06633951a8c034		18.0	0.8	0.0001	0.01185	0.1	0.475		17.59		261.5	0.0			2.066		0.001267	0.002		42.91		3.07258	0.62	0.0003797	
Bombyx mori	672e63f0b0571acb1c4299a65a1d256a		6.5	0.2	0.0001	0.7371	0.5	0.95	5.174e-27	26.82		4414.0	0.0	0.9998			1.375	0.05781	0.00145				89.5744	0.8716	0.01202	
