Name	CoL ID	E_Rj (J/cm^3)	F_m (l/d.cm^2)	kap_X (-)	s_G (-)	h_a (1/d^2)	kap_P (-)	kap_R (-)	kap_V (-)	p_M (J/d.cm^3)	k_E (1/d)	E_G (J/cm^3)	p_T (J/d.cm^2)	s_j (-)	t_sj (d)	E_Hj (J)	E_He (J)	E_Hb (J)	k_J (1/d)	E_Hx (J)	E_Hp (J)	E_Hs (J)	p_Am (J/d.cm^2)	kap (-)	v (cm/d)	t_0 (d)
Chlamydoselachus anguineus	efa72d5fdd926d889162f49fa8618ce3		6.5	0.8	0.0001	1.497e-08	0.1	0.95		21.05		5235.0	0.0					693200.0	0.002		17070000.0		942.912	0.4197	0.05844	
Chlidonias leucopterus	a666e4b62baba1a7edf044f52f7eefd5		6.5	0.8	0.01	2.868e-33	0.1	0.95		1194.02		7327.31	0.0					778.6	0.002		300200.0		3570.47	0.97863	0.27361	
Chlorocebus aethiops	76233bc1b7b6845442a6b98f93ac8124		6.5	0.8	0.05	2.704e-15	0.1	0.95		15.17		7850.0	0.0					454900.0	0.002	1537000.0	6251000.0		295.967	0.7837	0.08256	113.7
Chromis chromis	3ea36d06fa4400de11f0f6fbaf5c7bde		6.5	0.8	0.0001	4.0334e-09	0.1	0.95		20.3158		5226.6	0.0			1.564		0.51775	0.002		6066.67		44.5003	0.88316	0.057644	
Chydorus sphaericus	bf9a53b5d704a17c593c845f6e8d08cb		6.5	0.8	0.0001	2.626e-06	0.1	0.95		2891.9		4400.0	0.0					9.576e-06	0.002		6.411e-05		23.5842	0.9454	0.014481	
Ciconia ciconia	1f8d320bdebfb912da9ef2433da92a85		6.5	0.8	0.01	7.813e-33	0.1	0.95		337.545		7320.39	0.0					825.9	5.5389e-12		1454000.0		4254.35	0.99761	0.70097	
Cinnyris jugularis	d7ff4b36e31373ca9a0d3b401e370436		6.5	0.8	0.01	6.777e-25	0.1	0.95		2426.09		7324.37	0.0					51.63	0.002		28620.0		3107.48	0.98754	0.16454	
Ciona intestinalis	eca285a07d80dda8bda2c2e91aa687f8		8074.0	0.06277	0.0001	1.706e-07	0.1371	0.475		56.95		1533.0	0.0					6.152e-08	0.0017		0.009119		66.8727	0.9998	0.05048	
Circus aeruginosus	86e884dce0543b20ad3f399fc9ce5198		6.5	0.14503	0.01	5.061e-26	0.1	0.95		476.81		7319.59	0.0					918.1	0.002		541700.0		3439.64	0.9918	0.47439	
Clamator glandarius	02135d597ace84d87208d04918b1beba		6.5	0.8	0.05	1.077e-108	0.1	0.95		893.43		7321.09	0.0					269.0	0.002		2185.0		3758.06	0.99248	0.61137	
Clione limacina	ccdf4eb106a21eed81a0df1e7d2ca725		6.5	0.8	0.0001	4.914e-05	0.1	0.475		291.9		3920.0	0.0			0.0006168		2.309e-07	0.002		0.1486		23.4962	0.9961	0.003755	
Cloeon dipterum	cb3fd2c1a361461205d2d68285a00177	546.6	6.5	0.8	1.0	0.04747	0.1	0.95		41.21		4420.0	0.0					0.0004215	0.002		0.01425		9.18397	0.9616	0.007818	
Clupea harengus	6bcb569f1523c7f3faea43845cab12a2		6.5	0.8	0.0001	1.496e-09	0.1	0.95		34.41		5218.0	0.0			1252.0		15.55	0.002		920200.0		101.244	0.7365	0.0867	
Columba livia	85552c5c13d52b6bb61b495497f135c1		6.5	0.8	0.05	6.378e-64	0.1	0.95		1011.0		7352.44	0.0					438.7	0.002056		34920.0		3539.24	0.99099	0.093246	
Columba oenas	ed30f61f67a50dfc7efd082e23ec61b9		6.5	0.8	0.01	7.242e-49	0.1	0.95		528.659		7335.09	0.0					1114.0	0.002		700900.0		3259.4	0.98699	1.6512	
Cornu aspersum	be1016122f1c597b37092a9c8b64aa6c		6.5	0.12045	0.0001	8.164e-08	0.7859	0.475		326.517		3916.48	0.0			0.6376		0.6375	0.002		850.4		917.37	0.94207	0.02258	
Coronella austriaca	7449215b10f0b0e3d3b66b04beff2d3d		6.5	0.8	0.0001	1.351e-08	0.1	0.95		22.18		7838.0	0.0					9348.0	0.002		111200.0		136.348	0.5674	0.02301	
Corophium volutator	3f0dd1ef46052e07709a147e7e701ed6		6.5	0.8	0.0001	6.035e-06	0.1	0.95		31.32		4415.0	0.0					0.00943	0.002		0.01649		9.32878	0.9132	0.01635	
Corvus monedula	8b1d7741c6b8ad881d4f28e0bbe0bdeb		6.5	0.8	0.01	9.126e-53	0.1	0.95		768.386		7323.49	0.0					223.0	0.002		123300.0		4204.58	0.99648	0.97218	
Corydoras aeneus	905ee3c3036f0147c9e3465986196a49		6.5	0.8	0.0001	3.758e-09	0.1	0.95		114.6		5224.0	0.0					0.04227	0.002		173.0		147.799	0.9824	0.05983	
Coryphaena hippurus	c1a7f3fb0a8ad67293953bcc7595b9b1		6.5	0.8	0.0001	2.408e-09	0.1	0.95		15.02		5250.0	0.0			49.7		0.09762	0.002		24310.0		64.3231	0.9777	0.142	
Crassostrea gigas	93190b1650de88982e0161577b8b6a7e		30.4368	0.3259	0.0001	1.0292e-08	0.2279	0.95		17.3445		2374.0	0.0			0.0207664		0.000178593	0.002		1.77877	0.000185829	77.5984	0.264403	0.00536302	
Crepidula fornicata	cb8d13d370be3253d988a29585db934d		6.131	0.8	0.0001	4.956e-09	0.1	0.95		35.33		3948.0	0.0			0.003475		4.287e-05	0.002		0.1305		12.7197	0.9966	0.05035	
Crinia georgiana	66b8883b16bfdf95aad4fa2a2d29f8d8		6.5	0.8	0.0001	5.2e-07	0.1	0.95		468.7		7350.0	0.0					7.731	0.002		1686.0		695.684	0.859	0.05556	
Crinia nimbus	7653067dbfb18458578b1e698667cacc		6.5	0.8	0.0001	3.50548e-07	0.1	0.95		78.9263		7309.74	0.0					91.0329	0.002		1741.09		133.379	0.450377	0.00804212	
Crocodylus johnstoni	fcfe74af99e90cc51fee08e046d3aef2		6.5	0.8	0.0001	1.065e-10	0.1	0.95		55.92		7461.0	0.0					2321.0	0.002		2163000.0		1149.53	0.97	0.07124	
Crocodylus niloticus	1a3211cb8764f54db424f9a4646c0075		6.5	0.8	0.0001	1.869e-10	0.1	0.95		23.32		7495.0	0.0					20210.0	0.002		45300000.0		1297.64	0.6599	0.01374	
Crocuta crocuta	93b93fda51bb5cdc6f82fe48dadab8b6		6.5	0.8	0.1	5.39658e-20	0.1	0.95		22.8805		7837.94	0.0					599336.0	0.002	7610100.0	29681900.0		796.584	0.908504	0.121491	60.1236
Ctenophorus ornatus	1784a51b08f5dec6219f9eb686c036f8		6.5	0.8	0.0001	9.553e-11	0.1	0.95		18.45		7830.0	0.0					1277.0	0.002		11170.0		63.6735	0.8319	0.01316	
Cuculus canorus	01a48abb4f3aba76b904ac4c7a32f20a		6.5	0.8	0.05	2.879e-81	0.1	0.95		894.106		7323.22	0.0					23.46	0.002		5637.0		3305.02	0.99793	0.39301	
Cuthona nana	49690556f98ee422c43965e6f9691394		6.5	0.026	0.0001	1.3e-06	0.1	0.475		787.1		3900.0	0.0			0.1		2.928e-07	0.002		0.211		7.57206	0.99842	0.1952	
Cyclops vicinus	3665f193e29e67b5f91a61c8f72b79e8		6.5	0.8	0.0001	2.972e-05	0.1	0.95		1400.0		4400.0	0.0					2.938e-05	0.002		0.003318		39.7933	0.9967	0.02723	
Cyclopterus lumpus	4445e08822e2ce4fad71ae776c543830		6.5	0.8	0.0001	2.046e-09	0.1	0.95		22.01		5226.0	0.0			31710.0		2.017	0.002		2398000.0		21.4746	0.8674	0.0438	
Danio rerio	ae6d1ad09071086da0498b39630b01f8		6.5	0.8	0.0405	1.96e-09	0.1	0.95		500.9		4652.0	0.0			19.66		0.5402	0.01662		2062.0		246.32	0.4366	0.0278	
Daphnia cucullata	3eb62cdbb1d096da9cfcabc1b19e18aa		6.5	0.8	0.0001	3.048e-06	0.1	0.95		1400.0		4400.0	0.0					0.002865	0.002		0.0155		86.9534	0.73	0.03627	
Daphnia hyalina	29d9d22b0b26cf7307af8c0faaa8cf06		6.5	0.8	0.0001	7.074e-05	0.1	0.95		1600.0		4400.0	0.0					0.02201	0.002		0.1235		208.0	0.59	0.08	
Daphnia magna	e44e0a35c2cdb085859074a9fe73abdf		6.5	0.9	-0.3	0.0003105	0.05	0.95		1453.0		4400.0	0.0					0.01379	0.002		0.3211		315.611	0.61	0.1584	
Daphnia pulex	1274b0b445ebb1c66cc1c92f024359f4		6.5	0.8	0.0001	7.909e-05	0.1	0.95		1599.0		4448.0	0.0					0.26	0.002		3.926		520.825	0.4378	0.04889	
Daspletosaurus torosus	d220ef2c6ad58b7d730719f5ad838bf8		6.5	0.8	0.5	2.335e-11	0.1	0.95		15.9		7847.0	0.0					351800.0	0.002		185500000.0		1068.07	0.8338	0.01524	
Dasypus novemcinctus	f4765b154fabeda6821bb372a27914fa		6.5	0.8	0.1	7.20119e-12	0.1	0.95		166.973		7828.14	0.0					4002.1	0.002	45872.5	227652.0		1269.6	0.964623	0.0148066	21.009
Dasyurus viverrinus	8ff9da85871d400b6a4cc78e9c208645		6.5	0.8	0.1	1.46694e-12	0.1	0.95		1296.6		7841.38	0.0					0.000781006	0.002	508.749	1113.36		4405.08	0.999942	0.0356694	17.8803
Daubentonia madagascariensis	429cae10b932f86ee7eed6bb5e0f5c07		6.5	0.8	0.05	2.54262e-24	0.1	0.95		51.1475		7840.05	0.0					108201.0	0.002	3002810.0	7097100.0		709.918	0.854919	0.230898	154.718
Delphinapterus leucas	d9b93553f1483a53529684b92f3e0872		6.5	0.8	0.1	5.578e-13	0.1	0.95		26.8277		7804.84	0.0					12430000.0	0.002	60990000.0	145400000.0		1541.03	0.89077	0.039059	1.6373e-12
Delphinus delphis	53f82736e0e55a75583156a10dc0770e		6.5	0.8	0.2	5.547e-12	0.1	0.95		8.5816		7687.53	0.0					4116000.0	0.002	5402000.0	34000000.0		379.846	0.73606	0.020383	0.0
Dendrobaena octaedra	6ec54faf2fcf669ae87e31911d422933		6.5	0.8	0.0001	5.566e-09	0.1	0.95		460.8		4171.0	0.0					2.086	0.002		205.0		335.689	0.8648	0.1585	
Dentex dentex	470a9807241f414f99aaed0d85d65ec6		6.5	0.8	0.0001	7.177e-09	0.1	0.95		16.62		5232.0	0.0			22.76		0.1686	0.002		462800.0		75.252	0.9318	0.04486	
Dermochelys coriacea	dd8153b49c7daf4582b11583525bc26c		6.5	0.206503	0.0001	1.93879e-09	0.2	0.95		21.178		7843.18	0.0					7550.16	0.002		82514900.0		1191.41	0.916651	0.0865079	
Desmodus rotundus	5ed68b3442894a2a01c67ec56d5bc32a		6.5	0.8	0.05	6.6e-35	0.1	0.95		151.433		7833.0	0.0					2705.62	0.002	114988.0	117106.0		442.953	0.897767	0.0850767	178.413
Diaphanosoma brachyurum	dd213856b4a492a6f01afd65e70991d4		6.5	0.8	0.0001	0.0008197	0.1	0.95		772.4		4436.0	0.0					0.004503	0.002		0.0165		45.7963	0.7362	0.02326	
Dicentrarchus labrax	9d082a4d12bd05ee5b2050d56a4d052d		6.5	0.8	0.0001	2.578e-09	0.1	0.95		25.17		5286.0	0.0			140.9		0.4334	0.002		1272000.0		85.1438	0.7083	0.02631	
Dicerorhinus sumatrensis	43f507935a136e2a4c6221db63021549		6.5	0.8	0.1	9.76774e-17	0.1	0.95		78.3082		7914.86	0.0					8275200.0	0.002	1182270000.0	2360420000.0		6420.98	0.846346	0.225097	189.681
Didelphis virginiana	5e9ae59ab0006f520ea05758db530df8		6.5	0.8	0.1	3.174e-10	0.1	0.95		69.0461		7832.94	0.0					0.15577	0.002	240.087	1013.34		667.069	0.999567	0.0408654	5.64477
Diomedea exulans	9cf46c5413e6bef61c029d6cef69ff57		6.5	0.8	0.01	2.358e-17	0.1	0.95		682.722		7335.44	0.0					1827.0	0.002		632300.0		6753.63	0.99736	0.095851	
Diplodus puntazzo	7be95da2081d27bd05a0d13a5a9ba2f2		6.5	0.8	0.0001	1.86983e-09	0.1	0.95		18.5765		5229.2	0.0			22.7566		0.0141608	0.002		58316.1		21.2265	0.971582	0.0519148	
Doryteuthis pealei	71883eecc1e2f28199a9a79d82085fbf		6.5	0.8	1.0	5.68009e-05	0.1	0.95		18.6496		5489.27	0.0			2.46409		0.00403022	0.002		2372.8		71.1868	0.98002	0.00773128	
Dromaius novaehollandiae	e211d1636655d7a1b1f48fdb2c584dae		6.5	0.8	0.01	1.894e-17	0.1	0.95		28.1567		7319.17	0.0					93090.0	0.0016448		17990000.0		1041.01	0.96551	0.6718	
Ecdyonurus dispar	fd78ae082fb4e998ad66790ed51fc2b2	17341.4	6.5	0.8	1.0	2264.4	0.1	0.95		19.6484		4400.0	0.0					0.00241155	0.002		0.0617657		59.0643	0.40177	0.00213449	
Echinus affinis	e7cf9012297aa33bdaa907a4e2545d53		6.5	0.8	0.0001	6.316e-08	0.1	0.95		18.55		2352.0	0.0			0.4965		0.0005175	0.002		385.5		5.70709	0.705	0.0009146	
Egernia cunninghami	91fe397b8044dd1066106e58c5e37c52		6.5	0.8	0.0001	1.861e-10	0.1	0.95		37.61		7827.0	0.0					18690.0	0.002		589800.0		291.675	0.5818	0.02167	
Electrophorus electricus	3cef65beebb836d276014fb79322b074		6.5	0.8	0.0001	2.564e-08	0.1	0.95		17.94		5200.0	0.0					0.1824	0.002		21010.0		277.848	0.9782	0.01233	
Elephas maximus	6fb47237753f0901b5bb779c6e9e1369		6.5	0.0325068	0.1	2.69257e-12	0.8	0.95		21.3872		7838.83	0.0					7847460.0	0.002	27556000.0	162996000.0		1603.14	0.940328	0.0292382	11.6905
Engraulis encrasicolus	2abe41c8ee39bb550534f328bf4717a3		6.5	0.8	0.0001	8.464e-08	0.1	0.95		54.67		5077.0	0.0			0.6741		0.0001223	0.002		244.0		11.1372	0.9901	0.01944	
Enhydra lutris	f16ca52d25de7fb367832b86dac2e970		6.5	0.8	0.1	6.574e-15	0.1	0.97		339.669		7849.89	0.0					691500.0	0.002	11730000.0	44690000.0		4544.65	0.82778	0.032693	52.7565
Ensis directus	9535725bdbecb2f76d4461dc8a747406		45.1535	0.8	0.0001	2.51602e-07	0.1	0.95		31.0195		2353.48	0.0			0.000199273		6.68625e-08	0.002		54.7436		4.7281	0.971765	0.00149891	
Epinephelus marginatus	b19367bf6c4b12ca0ea001ea9953c9c9		6.5	0.8	0.0001	3.285e-11	0.1	0.95		10.0		5290.0	0.0			4.679		0.002018	0.002018		68300.0		16.2858	0.9714	0.01497	
Eptatretus stoutii	8c8fa2e6d0664f3f877f783a64beb1c6		6.5	0.8	0.0001	1.783e-07	0.1	0.95		26.51		4423.0	0.0					541.9	0.002		56710.0		219.75	0.5945	0.01842	
Erignathus barbatus	52717fb428839ec4ea46640eaad6ac88		6.5	0.8	0.1	2.95e-12	0.1	0.8		139.868		7839.51	0.0					12138000.0	0.002	15834200.0	252440000.0		4718.43	0.81207	0.029983	60.0
Erinaceus europaeus	cdc488ce6cf0ecb5a02221ef40111c12		6.5	0.8	0.1	1.76512e-20	0.1	0.95		106.316		7835.9	0.0					2927.87	0.002	58697.1	765104.0		1027.98	0.971927	0.26242	28.0672
Erpetoichthys calabaricus	c89d648572722980801c621e154ae462		6.5	0.8	0.0001	6.52e-10	0.1	0.95		17.03		5235.0	0.0					0.2588	0.002		10940.0		54.8299	0.9262	0.009734	
Eschrichtius robustus	b4385cf8dc677811a74fa6ae3cb43adc		6.5	0.8	0.2	1.23357e-14	0.1	0.95		22.2982		7843.78	0.0					31033500.0	0.002	66219300.0	1171650000.0		3336.95	0.945094	0.0570539	0.0
Esox lucius	491ad1cbf0ee6578c14c4a37b2580003		6.5	0.8	0.0001	1.67794e-08	0.1	0.95		10.225		5245.54	0.0					1.32028	0.002		221223.0		274.021	0.919556	0.0902788	
Etmopterus perryi	36a22def38a1931b3c9f9cb244396c01		6.5	0.8	0.0001	1.5e-09	0.1	0.95		18.57		5226.0	0.0					909.8	0.002		26320.0		71.3251	0.729	0.06	
Eubalaena glacialis	e45c4cf3665144ef83bb225e971a91e6		6.5	0.8	0.2	3.191e-15	0.1	0.95		144.829		7874.3	0.0					47290000.0	0.002	160700000.0	2386000000.0		13187.9	0.93904	0.047265	0.0
Eubosmina coregoni	dfa6a62de551465c295c3a3279b152b6		6.5	0.8	0.0001	2.252e-06	0.1	0.95		1400.0		4439.0	0.0					0.002922	0.002		0.03004		95.465	0.4882	0.02296	
Eulamprus quoyii	b7368b27759d92dfd69b19ba70fe7f0e		6.5	0.8	0.0001	4.896e-08	0.1	0.95		35.01		7827.0	0.0					1965.0	0.002		28930.0		141.613	0.6989	0.02282	
Eunectes murinus	a97cd0d051262be8ea1c9b162f28b25f		6.5	0.8	0.0001	3.68e-10	0.1	0.95		17.34		7851.0	0.0					432400.0	0.002		22390000.0		1534.15	0.3219	0.02233	
Euphausia superba	9b5816e13fe1783d6d65f7075aba514f		6.5	0.5785	0.0001	3.299e-07	0.37	0.95		452.6		4400.0	0.0					0.01491	0.002		329.2		504.204	0.8946	0.06037	
Euprymna hyllebergi	3fb01720b80e6677d2c8ff92d9908d60		6.5	0.8	1.0	0.000107682	0.1	0.95		20.1089		5487.27	0.0			98.4045		5.66954	0.002		3944.67		145.553	0.577327	0.0148152	
Euptilotis neoxenus	9e2e1359f85b411a7a1c34b7aa1151b5		6.5	0.8	0.01	1.497e-22	0.1	0.95		581.422		7315.04	0.0					1506.0	0.002		225200.0		2102.95	0.97857	0.16631	
Eurytemora affinis	b3cd8223fe63cbb356fab69438d3a23d		6.5	0.8	0.0001	0.0002214	0.1	0.95		1400.0		4400.0	0.0					2.6e-07	0.002		6.621e-05		17.7504	0.9993	0.00703	
Euspira nitida	79649390454e2a5fc41c8ea2ed2faaaf		6.5	0.8	0.0001	1.919e-08	0.1	0.95		295.33		3905.29	0.0			0.5053		0.002909	0.002		36.69		52.559	0.85662	0.01	
Falco naumanni	bc99d387d3a7b447bf1d951ef8111cc2		6.5	0.8	0.01	3.452e-29	0.1	0.95		746.507		7314.94	0.0					153.4	0.002		20080.0		3429.6	0.99739	0.85966	
Flustra foliacea	fd374d545f72678ced74b5f86d54deba		6.5	0.8	0.0001	4.697e-07	0.1	0.475		17.96		1831.0	0.0					2.045e-08	0.002		0.4716		28.736	0.8	0.002496	
Folsomia candida	bec653e78eb0e5dd43f92cc01e7cbd73		6.5	0.8	0.0001	8.154e-05	0.1	0.95		845.6		4314.0	0.0			0.05483		0.005193	0.002		0.1112		84.56	0.2226	0.003881	
Forpus passerinus	9dde78344c3ce809f5af4d35947c6ae0		6.5	0.8	0.01	1.791e-35	0.1	0.95		400.724		7319.67	0.0					679.4	0.002		131700.0		1055.65	0.94338	0.25905	
Fratercula arctica	80c12642c3ab7cc036ee3749463ca606		6.5	0.8	0.01	2.18e-20	0.1	0.95		320.436		7337.98	0.0					80340.0	0.002		10740000.0		2489.62	0.59959	0.099087	
Fulmarus glacialis	581a2dbd2bf9cfe395e49555c40f8a55		6.5	0.5	0.05	3.298e-139	0.1	0.95		537.13		7259.76	0.0					17620.0	0.002		6990000.0		4050.82	0.92873	0.35339	
Furcifer labordi	2d8fe0c4795645592bb8c62369df1cd0		6.5	0.8	0.5	2.5e-07	0.1	0.95		1000.0		7839.0	0.0					183.9	0.002		3023.0		1202.02	0.8494	0.02665	
Gadus morhua	9363f3f10179d965a3d7130fcdb3445c		6.5	0.8	0.0001	9.767e-08	0.1	0.95		21.57		5792.0	0.0			2.35		0.2013	0.002		297600.0		398.257	0.7198	0.08429	
Galago senegalensis	189e447f4b853cd7858295feb0c3f7b2		6.5	0.8	0.05	2.179e-36	0.1	0.95		74.02		7850.0	0.0					5444.0	0.002	100000.0	270400.0		422.994	0.9348	0.2338	120.3
Galeopterus variegatus	4dcbb7c6e643932361541981ae29374b		6.5	0.8	0.1	6.2756e-13	0.1	0.95		22.8326		7859.15	0.0					47247.5	0.002	341010.0	2179790.0		274.693	0.716774	0.0256097	26.8713
Gallinula chloropus	97e338fdcc541cc7d4a287cd2e478dd8		6.5	0.8	0.05	1.051e-47	0.1	0.95		304.958		7317.42	0.0					10140.0	0.002		3012000.0		1817.95	0.85783	0.20168	
Gallus gallus IR	e9bd1de9ad04b90064cf96a24cf98310		6.5	0.8	0.05	2.788e-30	0.1	0.95		43.8456		7453.29	0.0					198100.0	0.002		28560000.0		1187.65	0.52575	0.66481	
Gallus gallus	e9bd1de9ad04b90064cf96a24cf98310		6.5	0.8	0.05	7.616e-35	0.1	0.95		151.686		7311.16	0.0					1001.0	0.002		36310.0		1141.01	0.99118	0.12776	
Gallus gallus WL	e9bd1de9ad04b90064cf96a24cf98310		6.5	0.8	0.05	1.163e-13	0.1	0.95		178.143		7319.71	0.0					62540.0	0.002		11280000.0		2648.63	0.41337	0.043404	
Gammarus fossarum	0980a0ba53b8de0e3c9a1d97ec4f1ef0		6.5	0.8	0.0001	1.477e-06	0.1	0.95		463.8		4440.0	0.0			10.0		0.03955	0.002		10.01		30.6514	0.8805	0.01051	
Gammarus pseudolimnaeus	46665c47e08b50e65aa372a80c3e2436		6.5	0.8	0.0001	5.8892e-06	0.1	0.95		123.995		4435.99	0.0			0.93903		0.044068	0.002		4.5028		20.0137	0.91334	0.015096	
Gammarus pulex	7b6908ae7563c0d764397d8f1cbe6e04		6.5	0.8	0.0001	2.63807e-06	0.1	0.95		479.984		4441.71	0.0			3.12948		0.0492445	0.002		3.28879		48.2289	0.909932	0.0174111	
Gammarus roeseli	0980a0ba53b8de0e3c9a1d97ec4f1ef0		6.5	0.8	0.0001	5.314e-06	0.1	0.95		507.6		4437.0	0.0			35.17		0.1945	0.002		35.19		53.469	0.6633	0.0144	
Gasterosteus aculeatus	fd99ac97713444a54871ba5ae6555109		6.5	0.8	0.0001	3.887e-09	0.1	0.95		116.1		5224.0	0.0					0.1849	0.002		78.79		194.719	0.9844	0.07262	
Gavialis gangeticus	6bef8e5a76defdae652840a7b3416c9b		6.5	0.8	0.0001	4.661e-11	0.1	0.95		19.83		7847.0	0.0					68130.0	0.002		62560000.0		925.239	0.7407	0.02841	
Gavia immer	cfec88d8fcc43e7f03d1575d1c3f55a3		6.5	0.8	0.05	7.852e-41	0.1	0.95		262.801		7322.58	0.0					4140.0	0.0016994		3183000.0		3109.64	0.98599	0.31215	
Gavia stellata	82657d3390f0a0d5bc1349a48394f8d0		6.5	0.1382	0.05	1.995e-45	0.79367	0.95		386.771		7292.85	0.0					6615.0	0.001849		3329000.0		3292.43	0.97076	0.26374	
Genypterus blacodes	660b829aafcd7d46e774e3638a8d7a29		6.5	0.8	0.0001	4.668e-08	0.1	0.95		69.5		5152.0	0.0					0.4094	0.002		574500.0		1522.05	0.8	0.1009	
Geocrinia vitellina	12f5c1d4ba0f3475b80be1a3f53d8269		6.5	0.8	0.0001	8.325e-09	0.1	0.95		18.9		7322.0	0.0					45.44	0.002		1200.0		32.2314	0.6374	0.02236	
Glis glis	a35eaad2acaaf584762b9843f35c3dc5		6.5	0.8	0.1	7.261e-21	0.1	0.97		1357.92		7841.23	0.0					66.21	0.002	9734.0	186900.0		3186.38	0.97549	0.047219	18.0502
Gorgosaurus libratus	54cd15bf2e0366e56b694ffd4318a821		6.5	0.8	0.5	1.363e-11	0.1	0.95		15.35		7849.0	0.0					391900.0	0.002		149700000.0		939.859	0.7993	0.01513	
Gorilla gorilla	3525cf79aa420809edb33c4b6dd8601a		6.5	0.8	0.05	2.97e-12	0.1	0.95		43.56		7859.0	0.0					1571000.0	0.002	18680000.0	86900000.0		1385.49	0.5065	0.01353	0.1
Grus americana	1a22f8fb4ebe8e382b8685b187aafa18		6.5	0.8	0.01	1.099e-88	0.1	0.95		100.551		7300.21	0.0					42270.0	0.002		15770000.0		2042.05	0.95804	6.082	
Grus antigone	6a6879cee063dbe1eb1e589ccdbf7ecb		6.5	0.8	0.01	5.831e-63	0.1	0.95		91.9255		7304.17	0.0					22010.0	0.002		9433000.0		1893.31	0.97421	2.4219	
Grus canadensis	ee76f374ae7659a9cf9977645012b11e		6.5	0.8	0.01	1.306e-67	0.1	0.95		81.8711		7297.76	0.0					27530.0	0.002		8990000.0		1475.79	0.95781	2.5848	
Grus japonensis	6fde6b82ab0ac42b5d8bbd69e9433010		6.5	0.8	0.01	8.343e-72	0.1	0.95		54.3306		7273.56	0.0					27970.0	0.002		8280000.0		1168.16	0.96574	4.8321	
Grus leucogeranus	0ae95f5329e0e7fe075c002169e60746		6.5	0.8	0.01	2.264e-65	0.1	0.95		117.569		7284.76	0.0					38190.0	0.002		14270000.0		2156.38	0.95568	2.5592	
Grus monacha	0e419445ddc878e375c38fa9d9515969		6.5	0.8	0.01	8.237e-65	0.1	0.95		151.176		7306.54	0.0					28250.0	0.002		10290000.0		2336.0	0.95862	3.2318	
Grus rubicundus	91e043fbcde2082b7347fce518462e0e		6.5	0.8	0.01	2.645e-71	0.1	0.95		95.3346		7296.49	0.0					29250.0	0.002		10710000.0		1787.4	0.96198	3.1906	
Grus vipio	28717f30fbb5ef2ba20f85bb587a54d5		6.5	0.8	0.01	1.483e-79	0.1	0.95		107.904		7304.14	0.0					39750.0	0.002		12870000.0		1950.95	0.95427	2.5266	
Grus virgo	987b70eac098e65fbf96b62c25c06f86		6.5	0.8	0.01	3.724e-70	0.1	0.95		223.357		7308.55	0.0					24140.0	0.002		11190000.0		3089.8	0.95765	2.8524	
Haematopus moquini	35a448e347c4bb7b28695e9fcb3c744b		6.5	0.8	0.01	1.729e-32	0.1	0.95		374.29		7318.57	0.0					4807.0	0.002		1403000.0		2604.32	0.9746	0.35944	
Halichoerus grypus	571ff3eefa181344bc8dd6e8a54886ce		6.5	0.8	0.1	2.549e-13	0.1	0.95		37.5197		7824.85	0.0					20540000.0	0.002	23380000.0	259300000.0		1885.9	0.56516	0.029612	100.0
Halobatrachus didactylus	179d2ac7f27322ede597a170364b80a9		6.5	0.8	0.0001	2.261e-08	0.1	0.95		18.94		5229.0	0.0					38.49	0.002		45270.0		231.974	0.6851	0.01687	
Hemicentetes semispinosus	2a69b74156efdf595db62090e21e94f5		6.5	0.8	0.1	5.23715e-10	0.1	0.95		244.737		7808.79	0.0					6428.23	0.002	24676.5	457375.0		1006.36	0.86748	0.051472	37.5799
Heptranchias perlo	5bbba314cd44233980889b7db2091025		6.5	0.8	0.0001	5.422e-09	0.1	0.95		26.57		5226.0	0.0					121300.0	0.002		8821000.0		837.672	0.4152	0.1098	
Heterocephalus glaber	578ce28e305022faa88b77f2b880502f		6.5	0.8	0.01	1.2332e-17	0.1	0.95		85.9821		7828.36	0.0					6034.66	0.002	33269.7	484906.0		385.438	0.65261	0.116	63.6804
Heterodontus portusjacksoni	ea78d30dbfede623a294ebd70f2efd83		6.5	0.8	0.0001	1.978e-08	0.1	0.95		15.21		5235.0	0.0					93450.0	0.002		7873000.0		418.226	0.3895	0.02166	
Heteronotia binoei	9d3714402a1d195c7d861c0b1f840bd8		6.5	0.8	0.0001	1.368e-10	0.1	0.95		41.2		7825.0	0.0					1023.0	0.002		14950.0		110.239	0.4937	0.01739	
Himantopus mexicanus	1f5847657f78653cd8be6e4f828a1c0d		6.5	0.8	0.01	2.493e-32	0.1	0.95		388.219		7318.54	0.0					4833.0	0.002		1233000.0		1966.01	0.94096	0.47142	
Hiodon tergisus	9847fa5ddb60890788abf8bc9ce686a5		6.5	0.8	0.0001	3.041e-08	0.1	0.95		250.0		5224.0	0.0					1.602	0.002		1039000.0		1249.66	0.7394	0.07969	
Hippocampus whitei	46216a4024c47e7b05bf40754e15647e		6.5	0.8	0.0001	2.528e-08	0.1	0.95		52.67		5169.0	0.0					112.5	0.002		2731.0		159.704	0.5534	0.05608	
Hippopotamus amphibius	d122689ccde0015d1426a4f7af9fa1be		6.5	0.8	0.1	6.38558e-13	0.1	0.95		21.7054		7843.26	0.0					873376.0	0.002	5653860.0	32407000.0		1899.12	0.985684	0.0561094	0.0
