Name	CoL ID	E_Rj (log10 J/cm^3)	F_m (log10 l/d.cm^2)	kap_X (log10 -)	s_G (log10 -)	h_a (log10 1/d^2)	kap_P (log10 -)	kap_R (log10 -)	kap_V (log10 -)	p_M (log10 J/d.cm^3)	k_E (log10 1/d)	E_G (log10 J/cm^3)	p_T (log10 J/d.cm^2)	s_j (log10 -)	t_sj (log10 d)	E_Hj (log10 J)	E_He (log10 J)	E_Hb (log10 J)	k_J (log10 1/d)	E_Hx (log10 J)	E_Hp (log10 J)	E_Hs (log10 J)	p_Am (log10 J/d.cm^2)	kap (log10 -)	v (log10 cm/d)	t_0 (log10 d)
Calidris maritima	a35342e9335b7725fa58bc1da7787203		0.812913356643	-0.0969100130081	-1.0	-85.4634415574	-1.0	-0.0222763947112		2.90485181557		3.86416801908						3.81782969975	-2.69897000434		6.12123145515		3.38716906321	-0.0892155652072	-1.11765194782	
Calidris minuta	9690a93b47b604e28ac765c2345ba29c		0.812913356643	-0.0969100130081	-2.0	-27.1451476376	-1.0	-0.0222763947112		3.28762036293		3.86494160229						3.13193929521	-2.69897000434		5.58591171032		3.58690671991	-0.0300997373822	-0.710946442407	
Calidris minutilla	81a637f1ff6e3f1fda7a976824ba5adc		0.812913356643	-0.0969100130081	-2.0	-19.0781055291	-1.0	-0.0222763947112		3.17606809607		3.8646445527						2.19451434188	-2.69897000434		3.85381984586		3.3920142053	-0.00439990132407	-1.10351236368	
Callianira antarctica	303f7a8417f250f9b9d1cbc77fc060cf		1.27253777738	-0.0969100130081	-4.0	-6.0	-1.0	-0.323306390375		0.944957668647		2.42100965566				-1.53824193452		-6.62343399168	-2.69897000434		3.51556655112		0.0507122142452	-0.250565167783	-1.63232546473	
Callithrix jacchus	62c40d93ae8fa0246b8a98d2e750ecd6		0.812913356643	-0.0969100130081	-1.30102999566	-26.2232523388	-1.0	-0.0222763947112		1.7276933148		3.89527665163						4.864265386	-2.69897000434	5.55849136899	6.35990943886		2.67818228537	-0.169095828684	-0.8217801324	2.11624568104
Callithrix pygmaea	e1f4feeca0820dced99b7266294fff98		0.812913356643	-0.0969100130081	-1.30102999566	-27.6925895458	-1.0	-0.0222763947112		1.69080278201		3.89347158083						4.96080172365	-2.69897000434	5.7938294834	6.38664519205		2.68128466465	-0.309027316254	-0.763992073968	2.05932102379
Callorhinchus capensis	2b8e437a12e0cc1b19683fd7de7c7206		0.812913356643	-0.0969100130081	-4.0	-7.10846254233	-1.0	-0.0222763947112		1.64473392745		3.71866773532						3.46164856806	-2.69897000434		5.72476724565		2.78477058793	-0.0469655427496	-1.09398837473	
Callorhinus ursinus	4a75190e7f56b556cca2e56212dc703f		0.812913356643	-0.0969100130081	-1.0	-11.6113660306	-1.0	-0.0222763947112		0.980684974363		3.89586435125						6.78540102499	-2.69897000434	6.89685677274	7.59317526348		2.62142660429	-0.279014255846	-1.57462883356	
Camerasaurus spec	e91d23682d9e6ef031ecc9e41fd28be9		0.812913356643	-0.0969100130081	-0.301029995664	-15.6844494656	-1.0	-0.0222763947112		1.25285303098		3.89459294792						6.1152775914	-2.69897000434		9.18582535961		3.34698244068	-0.104190849831	-1.70487291475	
Canis lupus	bcd6035778291a7feaad52cb7ac167cb		0.812913356643	-0.0969100130081	-1.0	-19.3260580014	-1.0	-0.0222763947112		2.10947730096		3.89418254092						5.29225607136	-2.69897000434	6.60573589388	8.03702787976		3.51822563059	-0.0675262353228	-0.797321005772	1.64053907406
Capitella teleta	fd9aa8aa73aaf17bae632c52a561664d		0.812913356643	-0.0969100130081	-4.0	-6.27506908581	-1.0	-0.0222763947112		2.61278385672		3.61909333063						-1.17809362265	-2.69897000434		2.43727479741		2.61293424486	-0.0635868002885	-0.602059991328	
Carapus bermudensis	2dd6e3f10c0d08bcb17089579df4c5d0		0.812913356643	-0.0969100130081	-4.0	-8.65076522398	-1.0	-0.0222763947112		1.25439579358	-1.30102999566	3.71852161779			1.30749603791			-2.88712030027	-2.5438709194		4.04867869746	2.4605971889	1.6957609011	-0.0965762773883	-1.54011167427	
Carcharhinus leucas	08712ee451c6216fdc23bf2ed1b8eb24		0.812913356643	-0.0969100130081	-4.0	-9.31587307439	-1.0	-0.0222763947112		1.13735411137		3.7190825739						5.93515444722	-2.69897000434		7.58274496569		2.87362049283	-0.169475485903	-1.63376387628	
Carcharodon carcharias	c5465928ea46eb759bbbf4d623c56bad		0.812913356643	-0.0969100130081	-4.0	-8.73945162736	-1.0	-0.0222763947112		1.30276370847		3.71816940539						7.05614226206	-2.69897000434		8.41212440617		3.34090790778	-0.100726812682	-0.929555750027	
Carcinus maenas	182ab1e14f8181b51f406b97feedd219		0.812913356643	-0.0969100130081	-4.0	-7.58090212804	-1.0	-0.0222763947112		1.58396236985		3.64345267649				-0.46698461333		-3.15395003782	-2.69897000434		2.48374415663		1.39488925717	-0.00533493511732	-1.33077333558	
Caretta caretta	5667c31e110f65b6f24658fa8d7f650f		0.812913356643	-0.0969100130081	-4.0	-10.127960332	-1.0	-0.0222763947112		0.808818425092		3.89142594285						4.55618184665	-2.69897000434		7.74012573697		2.60991227753	-0.131590696685	-1.0674247765	
Cariama cristata	51010aa3e16c9d55c093b195102bac97		0.812913356643	-0.0969100130081	-2.0	-14.493689835	-1.0	-0.0222763947112		2.76215469427		3.86413179776						2.50870205592	-2.69897000434		4.08403620179		3.6185908871	-0.000958241408472	-1.00696738791	
Carollia perspicillata	b3658b2f62ac063825c67f88f1b3db18		0.812913356643	-0.0969100130081	-2.0	-18.8386919046	-1.0	-0.0222763947112		2.56917251886		3.89460623398						3.66854804788	-2.69897000434	4.7835584352	5.42233207541		2.96464329966	-0.0688677179173	-0.749221486781	1.95011306588
Castor fiber	3b8681fe6477ed5a3762fcdef4d00eb2		0.812913356643	-0.0969100130081	-1.0	-12.773915884	-1.0	-0.0132282657338		2.4755186501		3.89420581323						4.92711361193	-2.69897000434	5.94679602727	7.039017322		3.53128088471	-0.0395197089997	-1.60145240427	1.34683786146
Cavia tschudii	f83a21896fe575a2978cfd1222434dca		0.812913356643	-0.0969100130081	-1.0	-12.7096982127	-1.0	-0.0222763947112		2.10185013794		3.8941520634						4.69833982034	-2.71076790408	5.19883571567	5.89033381579		3.06290523468	-0.054708714108	-0.955499437629	1.69117258711
Cebus capucinus	0b4728552da36e92bba7b084a347127a		0.812913356643	-0.0969100130081	-1.30102999566	-22.6080069277	-1.0	-0.0222763947112		1.03462845663		3.89209460269						5.70926996098	-2.69897000434	6.35964579267	6.58353881925		2.27800093393	-0.14128238514	-1.05551732785	2.09447112864
Cepphus grylle	f56cecae9c9629f9bcc610161d9b483e		0.812913356643	-0.181450815961	-2.0	-26.8513973452	-1.0	-0.0222763947112		2.63708827193		3.86354649394						3.22349594096	-2.69897000434		5.58759872972		3.40952567557	-0.00479931717647	-0.5207414934	
Cerastoderma edule	2af65e2b505c0c8b54696e3d1a6ae6cc		0.812913356643	-0.0969100130081	-4.0	-7.49892840783	-1.0	-0.0222763947112		1.26323590736		3.37167544933				-3.89110363183		-5.0236495624	-2.69897000434		0.848490246614		1.15208338243	-0.013722837036	-2.0385015467	
Ceratotherium simum	6179a66ee04b226c191579679d6afeed		0.812913356643	-0.0969100130081	-1.0	-15.8931294555	-1.0	-0.0222763947112		1.48771233988		3.89353595898						7.47557967182	-2.69897000434	8.71174144742	9.20341639885		3.47786037368	-0.0787141964128	-0.740238933201	2.62735254076
Ceriodaphnia dubia	b7129a03be4a413d639f0bf4ade8d684		0.812913356643	-0.0969100130081	-4.0	-4.56511187913	-1.0	-0.0222763947112		3.11600635454		3.64802904034						-2.2768728412	-2.69897000434		-1.62232956067		1.84103456677	-0.34085423899	-1.99357674749	
Ceriodaphnia pulchella	8c950c5099d7368e2c5d026dc079a5e9		0.812913356643	-0.0969100130081	-4.0	-5.28382965214	-1.0	-0.0222763947112		3.02077548819		3.64787176531						-7.92335955633	-2.69897000434		-5.49798278517		1.45686685327	-0.00056495012367	-1.68655462957	
Cervus canadensis	d116839109ff1e816c69b6ab69deb181		0.812913356643	-0.0911773278169	-0.52287874528	-24.9892761346	-1.0	-0.0222763947112		1.17677979354		3.89457800063						7.27829620809	-2.69897000434	7.48995847942	8.35063560826		2.9892183696	-0.105822446161	-0.730720610228	0.6178701565
Channa punctata	19bb192b10caf3ea97ac557fd3b99edb		0.812913356643	-0.0969100130081	-4.0	-7.20131552371	-1.0	-0.0222763947112		1.21717851466		3.71870508702						-3.62518202586	-2.69897000434		2.53899199316		1.98883665602	-0.00132095923499	-1.35125368758	
Chanos chanos	4d9c6e7dced48df2f32ab635d64864ea		0.812913356643	-0.0969100130081	-4.0	-9.21810108065	-1.0	-0.0222763947112		1.59361830813		3.71600334363				-0.142727826436		-0.292855811658	-2.69897000434		6.54888056264		2.88789680151	-0.127552352211	-1.30373100325	
Chaoborus americanus	5dbeb214237206446fda16aaf06120cb	1.59095323519	0.812913356643	-0.0969100130081	0.0	-0.749092300299	-1.0	-0.0222763947112		1.80570470443		2.64345267649						-4.90938929217	-2.69897000434		-2.87712907714		0.647925499207	-0.00117418095971	-1.72699872794	
Charadrius pecuarius	7649077c28e6d6a042e8f6a197b55be5		0.812913356643	-0.0969100130081	-2.0	-27.9389246764	-1.0	-0.0222763947112		2.26494997948		3.86424460831						3.77232170672	-2.69897000434		5.64552051491		2.82985353107	-0.0630240603563	-0.472692395605	
Charybdis bimaculata	4e36e28ae886201dde69d60b6f300fbc		0.812913356643	-0.0969100130081	-4.0	-6.0474497061	-1.0	-0.0222763947112		1.8596005778		3.64712955775				-1.48784946308		-2.88806572367	-2.69897000434		2.1105897103		1.59049631181	-0.0113741651372	-1.64982954118	
Chelidonichthys lucerna	092eeb046b250e0e6525afb90ea84c57		0.812913356643	-0.0969100130081	-4.0	-7.36239420729	-1.0	-0.0222763947112		1.24948208531		3.71812702097				0.77872775541		-0.254079314726	-2.69897000434		4.96260559958		2.22607895499	-0.185438786396	-1.44570834655	
Chelon labrosus	78be26413dd8d85e73278dd3188eab9f		0.812913356643	-0.0969100130081	-4.0	-7.9159280108	-1.0	-0.0222763947112		1.26890310302		3.71845767592						-0.427225950831	-2.69897000434		5.17630256429		2.59829028787	-0.208276376722	-1.48754374833	
Chiloscyllium plagiosum	52239f24c95c370cbca53d5404f355a8		0.812913356643	-0.0969100130081	-4.0	-9.3671379599	-1.0	-0.0222763947112		1.27669152885		3.72320931041						3.8913701747	-2.69897000434		6.10551018477		2.39246655784	-0.150150804395	-1.51442052302	
Chirocentrus dorab	e6e028c4da3f6801e1e7b01fa7098bf8		0.812913356643	-0.0969100130081	-4.0	-9.12211057463	-1.0	-0.0222763947112		0.502153892871		3.71866773532				-1.50709998889		-1.52389328316	-2.69897000434		3.89839604593		1.51882573033	-0.012780770092	-1.43238555727	
Chironex fleckeri	acb0b861a8a833094a28eb241f5d6668		0.812913356643	-0.0969100130081	-4.0	-5.73761299123	-1.0	-0.0222763947112		1.39580149768		2.41648906025				3.41392643966		-1.1278903654	-2.69897000434		3.82678853309		1.27647329329	-0.417536633769	-2.01415919022	
Chlamydoselachus anguineus	efa72d5fdd926d889162f49fa8618ce3		0.812913356643	-0.0969100130081	-4.0	-7.82477819966	-1.0	-0.0222763947112		1.32325210017		3.71891668601						5.84085855404	-2.69897000434		7.23223352111		2.97447116284	-0.377061030789	-1.23328979274	
Chlidonias leucopterus	a666e4b62baba1a7edf044f52f7eefd5		0.812913356643	-0.0969100130081	-2.0	-32.542420853	-1.0	-0.0222763947112		3.07701160135		3.86494456583						2.89131439938	-2.69897000434		5.47741068791		3.55272538837	-0.00938147503147	-0.562868033906	
Chlorocebus aethiops	76233bc1b7b6845442a6b98f93ac8124		0.812913356643	-0.0969100130081	-1.30102999566	-14.5679933127	-1.0	-0.0222763947112		1.18098558079		3.89486965675						5.65791593683	-2.69897000434	6.1866738675	6.7959494989		2.47124329039	-0.105850153232	-1.08323031572	2.05576046469
Chromis chromis	3ea36d06fa4400de11f0f6fbaf5c7bde		0.812913356643	-0.0969100130081	-4.0	-8.39432870604	-1.0	-0.0222763947112		1.30783392874		3.71821926412				0.194236748724		-0.285879892435	-2.69897000434		3.78295037189		1.6483629388	-0.0539606091944	-1.23924589049	
Chydorus sphaericus	bf9a53b5d704a17c593c845f6e8d08cb		0.812913356643	-0.0969100130081	-4.0	-5.58070527825	-1.0	-0.0222763947112		3.46118327126		3.64345267649						-5.0188158626	-2.69897000434		-4.19307422312		1.37262114912	-0.0243844020331	-1.83920144646	
Ciconia ciconia	1f8d320bdebfb912da9ef2433da92a85		0.812913356643	-0.0969100130081	-2.0	-32.1071821757	-1.0	-0.0222763947112		2.52833167924		3.86453421908						2.91692746611	-11.2565764756		6.16256440652		3.62883321589	-0.00103920615837	-0.1543005685	
Cinnyris jugularis	d7ff4b36e31373ca9a0d3b401e370436		0.812913356643	-0.0969100130081	-2.0	-24.1689625144	-1.0	-0.0222763947112		3.38490690773		3.86477027513						1.71290212505	-2.69897000434		4.45666962942		3.49240834217	-0.00544530438256	-0.78372850703	
Ciona intestinalis	eca285a07d80dda8bda2c2e91aa687f8		3.90708874507	-1.20224787135	-4.0	-6.76802097317	-0.86296254521	-0.323306390375		1.75549372842		3.18554215485						-7.21098367321	-2.76955107862		-2.04005278429		1.82524885829	-8.68675834286e-05	-1.29688065376	
Circus aeruginosus	86e884dce0543b20ad3f399fc9ce5198		0.812913356643	-0.838542153028	-2.0	-25.2957636627	-1.0	-0.0222763947112		2.67834535516		3.86448675514						2.96288998739	-2.69897000434		5.73375883559		3.53651299077	-0.00357589604491	-0.323864474346	
Clamator glandarius	02135d597ace84d87208d04918b1beba		0.812913356643	-0.0969100130081	-1.30102999566	-107.967784297	-1.0	-0.0222763947112		2.95106053132		3.86457574578						2.42975228	-2.69897000434		3.33945144131		3.57496370963	-0.00327823617911	-0.21369587597	
Clione limacina	ccdf4eb106a21eed81a0df1e7d2ca725		0.812913356643	-0.0969100130081	-4.0	-4.30856484786	-1.0	-0.323306390375		2.46523409499		3.59328606702				-3.20985563496		-6.63657606708	-2.69897000434		-0.827981190575		1.37099763025	-0.00169705990146	-2.42539005866	
Cloeon dipterum	cb3fd2c1a361461205d2d68285a00177	2.73766962736	0.812913356643	-0.0969100130081	0.0	-1.32358076828	-1.0	-0.0222763947112		1.61500261452		3.64542226935						-3.37520242104	-2.69897000434		-1.84618513566		0.963030456407	-0.0170055453413	-2.1069043339	
Clupea harengus	6bcb569f1523c7f3faea43845cab12a2		0.812913356643	-0.0969100130081	-4.0	-8.82506840647	-1.0	-0.0222763947112		1.53668467262		3.71750407476				3.09760432887		1.19173039336	-2.69897000434		5.96388222893		2.00536929515	-0.132827248821	-1.06198090252	
Columba livia	85552c5c13d52b6bb61b495497f135c1		0.812913356643	-0.0969100130081	-1.30102999566	-63.1953154851	-1.0	-0.0222763947112		3.00475115559		3.86643148911						2.6421676344	-2.68697688968		4.54307423503		3.54891001365	-0.00393072792313	-1.03036978917	
Columba oenas	ed30f61f67a50dfc7efd082e23ec61b9		0.812913356643	-0.0969100130081	-2.0	-48.1401414795	-1.0	-0.0222763947112		2.72317563012		3.86540544691						3.04688519084	-2.69897000434		5.84565605998		3.51313766121	-0.00568724749938	0.217799679947	
Cornu aspersum	be1016122f1c597b37092a9c8b64aa6c		0.812913356643	-0.919193195666	-4.0	-7.08809700396	-0.104632711227	-0.323306390375		2.5139057976		3.5928959131				-0.195451691612		-0.195519810894	-2.69897000434		2.92962325152		2.96254453365	-0.0259168259924	-1.64627606241	
Coronella austriaca	7449215b10f0b0e3d3b66b04beff2d3d		0.812913356643	-0.0969100130081	-4.0	-7.86934465098	-1.0	-0.0222763947112		1.34596154181		3.89420525914						3.97071870372	-2.69897000434		5.04610478725		2.13464877194	-0.24611066854	-1.63808338133	
Corophium volutator	3f0dd1ef46052e07709a147e7e701ed6		0.812913356643	-0.0969100130081	-4.0	-5.21932272557	-1.0	-0.0222763947112		1.49582175339		3.64493070791						-2.02548830726	-2.69897000434		-1.78277934436		0.969824851259	-0.0394340971818	-1.786482243	
Corvus monedula	8b1d7741c6b8ad881d4f28e0bbe0bdeb		0.812913356643	-0.0969100130081	-2.0	-52.0397195356	-1.0	-0.0222763947112		2.88557944341		3.86471809288						2.34830486305	-2.69897000434		5.0909630766		3.62372262016	-0.00153141344799	-0.0122533176155	
Corydoras aeneus	905ee3c3036f0147c9e3465986196a49		0.812913356643	-0.0969100130081	-4.0	-8.42504322424	-1.0	-0.0222763947112		2.05918461763		3.71800316827						-1.37396775217	-2.69897000434		2.23804610313		2.16967149566	-0.00771164620291	-1.22308099716	
Coryphaena hippurus	c1a7f3fb0a8ad67293953bcc7595b9b1		0.812913356643	-0.0969100130081	-4.0	-8.61834351741	-1.0	-0.0222763947112		1.17666993267		3.72015930341				1.69635638873		-1.01046119668	-2.69897000434		4.38578495884		1.80836696672	-0.00979438481519	-0.847711655617	
Crassostrea gigas	93190b1650de88982e0161577b8b6a7e		1.48339899056	-0.486915639535	-4.0	-7.98750022246	-0.64225567482	-0.0222763947112		1.2391617847		3.37548071462				-1.68263878491		-3.7481355674	-2.69897000434		0.250119796207	-3.73088651016	1.88985276664	-0.577733621516	-2.27059058344	
Crepidula fornicata	cb8d13d370be3253d988a29585db934d		0.787531316127	-0.0969100130081	-4.0	-8.3048687023	-1.0	-0.0222763947112		1.54814363743		3.596377144				-2.45904519107		-4.36784651649	-2.69897000434		-0.884389488326		1.1044768684	-0.00147911716496	-1.29800052511	
Crinia georgiana	66b8883b16bfdf95aad4fa2a2d29f8d8		0.812913356643	-0.0969100130081	-4.0	-6.28399665637	-1.0	-0.0222763947112		2.67089495352		3.86628733908						0.888235673271	-2.69897000434		3.22685757029		2.84241201516	-0.0660068361688	-1.25523776293	
Crinia nimbus	7653067dbfb18458578b1e698667cacc		0.812913356643	-0.0969100130081	-4.0	-6.45525250635	-1.0	-0.0222763947112		1.89722174391		3.86390192982						1.9591983781	-2.69897000434		3.24082122114		2.125087457	-0.346423796283	-2.09462945089	
Crocodylus johnstoni	fcfe74af99e90cc51fee08e046d3aef2		0.812913356643	-0.0969100130081	-4.0	-9.97265039223	-1.0	-0.0222763947112		1.74756716274		3.87279703999						3.36567514046	-2.69897000434		6.33505651944		3.06052030981	-0.0132282657338	-1.14727608921	
Crocodylus niloticus	1a3211cb8764f54db424f9a4646c0075		0.812913356643	-0.0969100130081	-4.0	-9.72839069862	-1.0	-0.0222763947112		1.36772854609		3.87477163718						4.30556631352	-2.69897000434		7.65609820201		3.11315422428	-0.180521871638	-1.86201326728	
Crocuta crocuta	93b93fda51bb5cdc6f82fe48dadab8b6		0.812913356643	-0.0969100130081	-1.0	-19.2678813805	-1.0	-0.0222763947112		1.35946551072		3.8942019346						5.77767036502	-2.69897000434	6.88139036363	7.47249169759		2.90123157902	-0.0416731562215	-0.915455893219	1.77904497679
Ctenophorus ornatus	1784a51b08f5dec6219f9eb686c036f8		0.812913356643	-0.0969100130081	-4.0	-10.0198602223	-1.0	-0.0222763947112		1.2659963705		3.89376176206						3.10619089726	-2.69897000434		4.04805317312		1.80395872279	-0.0799288757025	-1.88074411072	
Cuculus canorus	01a48abb4f3aba76b904ac4c7a32f20a		0.812913356643	-0.0969100130081	-1.30102999566	-80.5407583351	-1.0	-0.0222763947112		2.95138900927		3.86470208116						1.37032800778	-2.69897000434		3.75104803482		3.51917409192	-0.000899921317776	-0.405596399015	
Cuthona nana	49690556f98ee422c43965e6f9691394		0.812913356643	-1.58502665203	-4.0	-5.88605664769	-1.0	-0.323306390375		2.8960299124		3.59106460703				-1.0		-6.53342892761	-2.69897000434		-0.675717544702		0.879214046597	-0.000686727939455	-0.709520186669	
Cyclops vicinus	3665f193e29e67b5f91a61c8f72b79e8		0.812913356643	-0.0969100130081	-4.0	-4.52695119491	-1.0	-0.0222763947112		3.14612803568		3.64345267649						-4.53194820855	-2.69897000434		-2.47912361831		1.59980995604	-0.00143554173906	-1.56495235866	
Cyclopterus lumpus	4445e08822e2ce4fad71ae776c543830		0.812913356643	-0.0969100130081	-4.0	-8.68909437062	-1.0	-0.0222763947112		1.34262004255		3.71816940539				4.50119624203		0.304705898213	-2.69897000434		6.37984917876		1.33192508312	-0.0617805821873	-1.3585258895	
Danio rerio	ae6d1ad09071086da0498b39630b01f8		0.812913356643	-0.0969100130081	-1.39254497679	-8.70774392864	-1.0	-0.0222763947112		2.69975103169		3.66763970606				1.2935835135		-0.267445420149	-1.77936898055		3.31428866095		2.3914996759	-0.359916268627	-1.55595520408	
Daphnia cucullata	3eb62cdbb1d096da9cfcabc1b19e18aa		0.812913356643	-0.0969100130081	-4.0	-5.51598503733	-1.0	-0.0222763947112		3.14612803568		3.64345267649						-2.5428753737	-2.69897000434		-1.80966830183		1.93928656819	-0.13667713988	-1.44045244442	
Daphnia hyalina	29d9d22b0b26cf7307af8c0faaa8cf06		0.812913356643	-0.0969100130081	-4.0	-4.15033494452	-1.0	-0.0222763947112		3.20411998266		3.64345267649						-1.65737995745	-2.69897000434		-0.908333042404		2.31806333496	-0.229147988358	-1.09691001301	
Daphnia magna	e44e0a35c2cdb085859074a9fe73abdf		0.812913356643	-0.0457574905607		-3.50793839549	-1.30102999566	-0.0222763947112		3.1622656143		3.64345267649						-1.86043573382	-2.69897000434		-0.493359694433		2.49915213128	-0.214670164989	-0.800244822747	
Daphnia pulex	1274b0b445ebb1c66cc1c92f024359f4		0.812913356643	-0.0969100130081	-4.0	-4.10187842446	-1.0	-0.0222763947112		3.20384846375		3.64816477857						-0.585026652029	-2.69897000434		0.593950295264		2.71669182253	-0.358724242768	-1.31077996274	
Daspletosaurus torosus	d220ef2c6ad58b7d730719f5ad838bf8		0.812913356643	-0.0969100130081	-0.301029995664	-10.6317131151	-1.0	-0.0222763947112		1.20139712432		3.89470365261						5.54629583512	-2.69897000434		8.26834391395		3.02859971675	-0.0789381092097	-1.817015033	
Dasypus novemcinctus	f4765b154fabeda6821bb372a27914fa		0.812913356643	-0.0969100130081	-1.0	-11.1425957303	-1.0	-0.0222763947112		2.2226462502		3.89365858406						3.6022879361	-2.69897000434	4.66155240934	5.35727147009		3.10366691375	-0.015642387185	-1.82954465591	1.32240538107
Dasyurus viverrinus	8ff9da85871d400b6a4cc78e9c208645		0.812913356643	-0.0969100130081	-1.0	-11.8335876491	-1.0	-0.0222763947112		3.11280601727		3.89439250065						-3.10734562969	-2.69897000434	2.70650356858	3.04663561423		3.64395379998	-2.5189810462e-05	-1.44770419593	1.25237480122
Daubentonia madagascariensis	429cae10b932f86ee7eed6bb5e0f5c07		0.812913356643	-0.0969100130081	-1.30102999566	-23.5947185412	-1.0	-0.0222763947112		1.70882441102		3.89431883241						5.03423127456	-2.69897000434	6.47752785349	6.8510809246		2.85120818787	-0.0680750309086	-0.636579828853	2.18954084276
Delphinapterus leucas	d9b93553f1483a53529684b92f3e0872		0.812913356643	-0.0969100130081	-1.0	-12.2535214901	-1.0	-0.0222763947112		1.42858344121		3.89236400441						7.09447112864	-2.69897000434	7.78525863336	8.16256440652		3.18781109343	-0.0502344178772	-1.40827887984	-11.7858717382
Delphinus delphis	53f82736e0e55a75583156a10dc0770e		0.812913356643	-0.0969100130081	-0.698970004336	-11.2559418341	-1.0	-0.0222763947112		0.933568267614		3.88578682359						6.61447536609	-2.69897000434	6.73255457985	7.53147891704		2.57960755739	-0.133086782664	-1.69073189552	
Dendrobaena octaedra	6ec54faf2fcf669ae87e31911d422933		0.812913356643	-0.0969100130081	-4.0	-8.254456798	-1.0	-0.0222763947112		2.66351247042		3.62024018985						0.319314304091	-2.69897000434		2.31175386106		2.52593711033	-0.0630843190547	-0.799970733446	
Dentex dentex	470a9807241f414f99aaed0d85d65ec6		0.812913356643	-0.0969100130081	-4.0	-8.14405705377	-1.0	-0.0222763947112		1.22063101945		3.71866773532				1.35717225772		-0.773142429711	-2.69897000434		5.66539335028		1.87651804682	-0.0306772938878	-1.34814073075	
Dermochelys coriacea	dd8153b49c7daf4582b11583525bc26c		0.812913356643	-0.68507363469	-4.0	-8.71246922897	-0.698970004336	-0.0222763947112		1.32588494397		3.89449218213						3.87795615512	-2.69897000434		7.91653237768		3.07606124099	-0.0377959834403	-1.06294423046	
Desmodus rotundus	5ed68b3442894a2a01c67ec56d5bc32a		0.812913356643	-0.0969100130081	-1.30102999566	-34.1804560645	-1.0	-0.0222763947112		2.18022052613		3.89392812654						3.43226680058	-2.69897000434	5.0606525203	5.06857914699		2.64635764739	-0.0468363623798	-1.07018936409	2.25142649591
Diaphanosoma brachyurum	dd213856b4a492a6f01afd65e70991d4		0.812913356643	-0.0969100130081	-4.0	-3.08634506491	-1.0	-0.0222763947112		2.88784226511		3.64699153748						-2.34649805304	-2.69897000434		-1.78251605579		1.66083039166	-0.133004186889	-1.63339028961	
Dicentrarchus labrax	9d082a4d12bd05ee5b2050d56a4d052d		0.812913356643	-0.0969100130081	-4.0	-8.58871708698	-1.0	-0.0222763947112		1.40088321555		3.7231271588				2.14891099311		-0.363111093016	-2.69897000434		6.10448711131		1.930153029	-0.149782758202	-1.57987915191	
Dicerorhinus sumatrensis	43f507935a136e2a4c6221db63021549		0.812913356643	-0.0969100130081	-1.0	-16.0102059091	-1.0	-0.0222763947112		1.89380724135		3.89844323736						6.91777849886	-2.69897000434	9.07271666954	9.37298928579		3.80760131718	-0.0724520540166	-0.647630293059	2.27802383058
Didelphis virginiana	5e9ae59ab0006f520ea05758db530df8		0.812913356643	-0.0969100130081	-1.0	-9.49839307758	-1.0	-0.0222763947112		1.83913915292		3.89392479988						-0.807516180097	-2.69897000434	2.38036864493	3.00575518608		2.82417075861	-0.000188090235139	-1.38864424575	0.751646250997
Diomedea exulans	9cf46c5413e6bef61c029d6cef69ff57		0.812913356643	-0.0969100130081	-2.0	-16.6274561992	-1.0	-0.0222763947112		2.83424389776		3.86542616915						3.26173854735	-2.69897000434		5.80092318181		3.82953726397	-0.00114805353056	-1.01840335183	
Diplodus puntazzo	7be95da2081d27bd05a0d13a5a9ba2f2		0.812913356643	-0.0969100130081	-4.0	-8.72819787657	-1.0	-0.0222763947112		1.2689638919		3.71843525251				1.35710737585		-1.84891221093	-2.69897000434		4.76578847201		1.32687839002	-0.0125205397429	-1.28470881475	
Doryteuthis pealei	71883eecc1e2f28199a9a79d82085fbf		0.812913356643	-0.0969100130081	0.0	-4.24564478292	-1.0	-0.0222763947112		1.27066952142		3.73951459289				0.391656566232		-2.39467124612	-2.69897000434		3.37526113368		1.8523994709	-0.00876506124525	-2.11174859781	
Dromaius novaehollandiae	e211d1636655d7a1b1f48fdb2c584dae		0.812913356643	-0.0969100130081	-2.0	-16.7226200253	-1.0	-0.0222763947112		1.4495817536		3.86446183449						4.9689030303	-2.78388690268		7.25503116335		3.01745490139	-0.0152432237776	-0.172760000494	
Ecdyonurus dispar	fd78ae082fb4e998ad66790ed51fc2b2	4.23908415587	0.812913356643	-0.0969100130081	0.0	3.35495314621	-1.0	-0.0222763947112		1.29332719087		3.64345267649						-2.61770372918	-2.69897000434		-1.20925263229		1.77132506129	-0.396022494967	-2.67070587551	
Echinus affinis	e7cf9012297aa33bdaa907a4e2545d53		0.812913356643	-0.0969100130081	-4.0	-7.19955787866	-1.0	-0.0222763947112		1.26834391395		3.3714373174				-0.304080747169		-3.28608964587	-2.69897000434		2.58602438239		0.756414721365	-0.151810883009	-3.03876880296	
Egernia cunninghami	91fe397b8044dd1066106e58c5e37c52		0.812913356643	-0.0969100130081	-4.0	-9.73025362687	-1.0	-0.0222763947112		1.57530333342		3.89359533382						4.27160930138	-2.69897000434		5.77070476822		2.46489920654	-0.235226283089	-1.66414108868	
