Name	CoL ID	p_M (J/d.cm^3)	F_m (l/d.cm^2)	h_a (1/d^2)	p_Am (J/d.cm^2)	k_J (1/d)	kap_X (-)	kap (-)	E_G (J/cm^3)	E_Hb (J)	s_G (-)	v (cm/d)	kap_P (-)	kap_R (-)	E_Hp (J)	p_T (J/d.cm^2)
Aspidiophorus polystictos	88edfcced5860e504db0c2d25d801715	981.4	6.5	0.0001914	5.9039	0.002	0.8	0.57	1307.0	1.798e-05	0.0001	0.005143	0.1	0.95	8.432e-05	0.0
Asplanchna girodi	7ef4175c71766debbf941dc6e2476c02	2083.0	6.5	2.029e-25	158.351	0.002	0.8	0.3111	915.9	0.006749	0.0001	0.172	0.1	0.95	0.1183	0.0
Atractosteus spatula	d3a4b7c1f41f1e5cc48d060d5ec1e28f	28.65	6.5	1.862e-10	882.624	0.002	0.8	0.954	5220.0	0.4422	0.0001	0.0404	0.1	0.95	7206000.0	0.0
Balaeniceps rex	16bde12b82a99c26cf61f1229cd3f41a	115.682	6.5	4.352e-65	2138.1	0.002	0.8	0.97385	7300.06	27850.0	0.01	2.5047	0.1	0.95	8571000.0	0.0
Belone belone	6b4ff497ef77437ec9fad307c08c99a6	40.73	6.5	1.307e-08	255.702	0.002	0.8	0.9785	5211.0	0.02362	0.0001	0.01254	0.1	0.95	1104.0	0.0
Boa constrictor	253bb4ac5026b77a3adf9b78516913b9	45.88	6.5	8.763e-11	1237.79	0.002	0.8	0.6216	7836.0	98880.0	0.0001	0.0229	0.1	0.95	8259000.0	0.0
Bosmina longirostris	869bccad902dfe087fefb3d7f87982d8	1400.0	6.5	7.038e-06	83.6296	0.002	0.8	0.4838	4439.0	0.001486	0.0001	0.02278	0.1	0.95	0.02108	0.0
Brachionus plicatilis	c1847141382c50836d8cf6c9cea31e71	349.9	0.2249	0.001754	16.601	0.002	0.7	0.2818	1545.0	0.0003132	0.0001	0.02445	0.25	0.95	0.0006225	0.0
Bubo scandiacus	1347e0b2597b16465cd5674f305fafd4	826.719	6.5	2.153e-18	6188.78	0.002	0.8	0.98093	7319.88	2192.0	0.01	0.20023	0.1	0.95	2745000.0	0.0
Bubo virginianus	657c70b3ce45f54079dabb6949fb5ac2	1206.25	6.5	1.515e-19	7126.22	0.002	0.8	0.99046	7327.5	784.4	0.01	0.15811	0.1	0.95	985600.0	0.0
Bucorvus leadbeateri	c37431d15839c9b467569ad3045869be	332.976	6.5	2.625e-25	3408.48	0.002	0.8	0.99062	7304.95	1476.0	0.01	0.18812	0.1	0.95	1483000.0	0.0
Bufo bufo	e53ae9ac85ef2c141a509f6405bc98f7	105.4	6.5	5.505e-10	400.978	0.002	0.8	0.8832	7320.0	0.5665	0.0001	0.04897	0.1	0.95	83530.0	0.0
Caiman crocodilus	2169464fbc24236e32ec1d7b81a59a45	11.83	6.5	1.553e-11	289.884	0.002	0.8	0.9529	7842.0	13650.0	0.0001	0.07878	0.1	0.95	945900.0	0.0
Calidris alpina	3573e87083ded2fb1ffc96183f7def79	439.071	6.5	8.736e-24	1238.72	0.002	0.8	0.89149	7326.51	5167.0	0.01	0.096193	0.1	0.95	361200.0	0.0
Calidris bairdii	b332bce93951f2c8b34f237074c8b5bc	1011.51	6.5	9.234e-36	2475.89	0.002	0.8	0.93557	7319.29	1852.0	0.01	0.171	0.1	0.95	377700.0	0.0
Calidris ferruginea	9b0c2d95deffed6fa89cdb208c187026	487.264	6.5	6.614e-29	1763.58	0.002	0.8	0.92229	7320.09	3901.0	0.01	0.26612	0.1	0.95	705500.0	0.0
Calidris maritima	a35342e9335b7725fa58bc1da7787203	803.252	6.5	3.44e-86	2438.76	0.002	0.8	0.8143	7314.22	6574.0	0.1	0.076269	0.1	0.95	1322000.0	0.0
Calidris minuta	9690a93b47b604e28ac765c2345ba29c	1939.19	6.5	7.159e-28	3862.84	0.002	0.8	0.93304	7327.26	1355.0	0.01	0.19456	0.1	0.95	385400.0	0.0
Calidris minutilla	81a637f1ff6e3f1fda7a976824ba5adc	1499.92	6.5	8.354e-20	2466.12	0.002	0.8	0.98992	7322.25	156.5	0.01	0.078793	0.1	0.95	7142.0	0.0
Callorhinchus capensis	2b8e437a12e0cc1b19683fd7de7c7206	44.13	6.5	7.79e-08	609.215	0.002	0.8	0.8975	5232.0	2895.0	0.0001	0.08054	0.1	0.95	530600.0	0.0
Camerasaurus spec	e91d23682d9e6ef031ecc9e41fd28be9	17.9	6.5	2.068e-16	2223.22	0.002	0.8	0.7867	7845.0	1304000.0	0.5	0.01973	0.1	0.95	1534000000.0	0.0
Capitella teleta	fd9aa8aa73aaf17bae632c52a561664d	410.0	6.5	5.308e-07	410.142	0.002	0.8	0.8638	4160.0	0.06636	0.0001	0.25	0.1	0.95	273.7	0.0
Carcharhinus leucas	08712ee451c6216fdc23bf2ed1b8eb24	13.72	6.5	4.832e-10	747.516	0.002	0.8	0.6769	5237.0	861300.0	0.0001	0.02324	0.1	0.95	38260000.0	0.0
Carcharodon carcharias	c5465928ea46eb759bbbf4d623c56bad	20.08	6.5	1.822e-09	2192.34	0.002	0.8	0.793	5226.0	11380000.0	0.0001	0.11761	0.1	0.95	258300000.0	0.0
Caretta caretta	5667c31e110f65b6f24658fa8d7f650f	6.439	6.5	7.448e-11	407.298	0.002	0.8	0.7386	7788.0	35990.0	0.0001	0.08562	0.1	0.95	54970000.0	0.0
Cariama cristata	51010aa3e16c9d55c093b195102bac97	578.302	6.5	3.20856e-15	4155.19	0.002	0.8	0.997796	7313.61	322.628	0.01	0.0984085	0.1	0.95	12134.9	0.0
Cepphus grylle	f56cecae9c9629f9bcc610161d9b483e	433.599	6.5	1.408e-27	2567.59	0.002	0.65849	0.98901	7303.76	1673.0	0.01	0.30148	0.1	0.95	386900.0	0.0
Ceriodaphnia dubia	b7129a03be4a413d639f0bf4ade8d684	1306.19	6.5	2.722e-05	69.3481	0.002	0.8	0.45619	4446.61	0.005286	0.0001	0.010149	0.1	0.95	0.02386	0.0
Ceriodaphnia pulchella	8c950c5099d7368e2c5d026dc079a5e9	1049.0	6.5	5.202e-06	28.633	0.002	0.8	0.9987	4445.0	1.193e-08	0.0001	0.02058	0.1	0.95	3.177e-06	0.0
Channa punctata	19bb192b10caf3ea97ac557fd3b99edb	16.4884	6.5	6.29049e-08	97.4623	0.002	0.8	0.996963	5232.45	0.000237038	0.0001	0.0445396	0.1	0.95	345.933	0.0
Charadrius pecuarius	7649077c28e6d6a042e8f6a197b55be5	184.056	6.5	1.151e-28	675.855	0.002	0.8	0.86492	7315.51	5920.0	0.01	0.33675	0.1	0.95	442100.0	0.0
Chelon labrosus	78be26413dd8d85e73278dd3188eab9f	18.5739	6.5	1.21359e-08	396.543	0.002	0.8	0.619047	5229.47	0.373916	0.0001	0.0325429	0.1	0.95	150073.0	0.0
Chiloscyllium plagiosum	52239f24c95c370cbca53d5404f355a8	18.91	6.5	4.294e-10	246.869	0.002	0.8	0.7077	5287.0	7787.0	0.0001	0.03059	0.1	0.95	1275000.0	0.0
Chlamydoselachus anguineus	efa72d5fdd926d889162f49fa8618ce3	21.05	6.5	1.497e-08	942.912	0.002	0.8	0.4197	5235.0	693200.0	0.0001	0.05844	0.1	0.95	17070000.0	0.0
Chlidonias leucopterus	a666e4b62baba1a7edf044f52f7eefd5	1194.02	6.5	2.868e-33	3570.47	0.002	0.8	0.97863	7327.31	778.6	0.01	0.27361	0.1	0.95	300200.0	0.0
Chydorus sphaericus	bf9a53b5d704a17c593c845f6e8d08cb	2891.9	6.5	2.626e-06	23.5842	0.002	0.8	0.9454	4400.0	9.576e-06	0.0001	0.014481	0.1	0.95	6.411e-05	0.0
Ciconia ciconia	1f8d320bdebfb912da9ef2433da92a85	337.545	6.5	7.813e-33	4254.35	5.5389e-12	0.8	0.99761	7320.39	825.9	0.01	0.70097	0.1	0.95	1454000.0	0.0
Cinnyris jugularis	d7ff4b36e31373ca9a0d3b401e370436	2426.09	6.5	6.777e-25	3107.48	0.002	0.8	0.98754	7324.37	51.63	0.01	0.16454	0.1	0.95	28620.0	0.0
Ciona intestinalis	eca285a07d80dda8bda2c2e91aa687f8	56.95	8074.0	1.706e-07	66.8727	0.0017	0.06277	0.9998	1533.0	6.152e-08	0.0001	0.05048	0.1371	0.475	0.009119	0.0
Circus aeruginosus	86e884dce0543b20ad3f399fc9ce5198	476.81	6.5	5.061e-26	3439.64	0.002	0.14503	0.9918	7319.59	918.1	0.01	0.47439	0.1	0.95	541700.0	0.0
Clamator glandarius	02135d597ace84d87208d04918b1beba	893.43	6.5	1.077e-108	3758.06	0.002	0.8	0.99248	7321.09	269.0	0.05	0.61137	0.1	0.95	2185.0	0.0
Columba livia	85552c5c13d52b6bb61b495497f135c1	1011.0	6.5	6.378e-64	3539.24	0.002056	0.8	0.99099	7352.44	438.7	0.05	0.093246	0.1	0.95	34920.0	0.0
Columba oenas	ed30f61f67a50dfc7efd082e23ec61b9	528.659	6.5	7.242e-49	3259.4	0.002	0.8	0.98699	7335.09	1114.0	0.01	1.6512	0.1	0.95	700900.0	0.0
Coronella austriaca	7449215b10f0b0e3d3b66b04beff2d3d	22.18	6.5	1.351e-08	136.348	0.002	0.8	0.5674	7838.0	9348.0	0.0001	0.02301	0.1	0.95	111200.0	0.0
Corophium volutator	3f0dd1ef46052e07709a147e7e701ed6	31.32	6.5	6.035e-06	9.32878	0.002	0.8	0.9132	4415.0	0.00943	0.0001	0.01635	0.1	0.95	0.01649	0.0
Corvus monedula	8b1d7741c6b8ad881d4f28e0bbe0bdeb	768.386	6.5	9.126e-53	4204.58	0.002	0.8	0.99648	7323.49	223.0	0.01	0.97218	0.1	0.95	123300.0	0.0
Corydoras aeneus	905ee3c3036f0147c9e3465986196a49	114.6	6.5	3.758e-09	147.799	0.002	0.8	0.9824	5224.0	0.04227	0.0001	0.05983	0.1	0.95	173.0	0.0
Crinia georgiana	66b8883b16bfdf95aad4fa2a2d29f8d8	468.7	6.5	5.2e-07	695.684	0.002	0.8	0.859	7350.0	7.731	0.0001	0.05556	0.1	0.95	1686.0	0.0
Crinia nimbus	7653067dbfb18458578b1e698667cacc	78.9263	6.5	3.50548e-07	133.379	0.002	0.8	0.450377	7309.74	91.0329	0.0001	0.00804212	0.1	0.95	1741.09	0.0
Crocodylus johnstoni	fcfe74af99e90cc51fee08e046d3aef2	55.92	6.5	1.065e-10	1149.53	0.002	0.8	0.97	7461.0	2321.0	0.0001	0.07124	0.1	0.95	2163000.0	0.0
Crocodylus niloticus	1a3211cb8764f54db424f9a4646c0075	23.32	6.5	1.869e-10	1297.64	0.002	0.8	0.6599	7495.0	20210.0	0.0001	0.01374	0.1	0.95	45300000.0	0.0
Ctenophorus ornatus	1784a51b08f5dec6219f9eb686c036f8	18.45	6.5	9.553e-11	63.6735	0.002	0.8	0.8319	7830.0	1277.0	0.0001	0.01316	0.1	0.95	11170.0	0.0
