Name	CoL ID	p_M (log10 J/d.cm^3)	F_m (log10 l/d.cm^2)	h_a (log10 1/d^2)	p_Am (log10 J/d.cm^2)	k_J (log10 1/d)	kap_X (log10 -)	kap (log10 -)	E_G (log10 J/cm^3)	E_Hb (log10 J)	s_G (log10 -)	v (log10 cm/d)	kap_P (log10 -)	kap_R (log10 -)	E_Hp (log10 J)	p_T (log10 J/d.cm^2)
Grus rubicundus	91e043fbcde2082b7347fce518462e0e	1.97925054872	0.812913356643	-70.5775743236	3.2522217536	-2.69897000434	-0.0969100130081	-0.0168339570474	3.8631139916	4.46612587042	-2.0	0.503872360859	-1.0	-0.0222763947112	7.02978947083	
Grus vipio	28717f30fbb5ef2ba20f85bb587a54d5	2.03303754427	0.812913356643	-78.828858849	3.2902461392	-2.69897000434	-0.0969100130081	-0.0203287291534	3.86356908882	4.59933713299	-2.0	0.402536491804	-1.0	-0.0222763947112	7.1095785469	
Grus virgo	987b70eac098e65fbf96b62c25c06f86	2.34899956779	0.812913356643	-69.4289903277	3.48993036884	-2.69897000434	-0.0969100130081	-0.0187931869989	3.86383122245	4.38273726576	-2.0	0.455210427776	-1.0	-0.0222763947112	7.04883008653	
Haematopus moquini	35a448e347c4bb7b28695e9fcb3c744b	2.57320822411	0.812913356643	-31.7622050067	3.41569434614	-2.69897000434	-0.0969100130081	-0.0111735929547	3.86442623109	3.68187412213	-2.0	-0.444373594415	-1.0	-0.0222763947112	6.14705767103	
Halobatrachus didactylus	179d2ac7f27322ede597a170364b80a9	1.27737997467	0.812913356643	-7.64569943765	2.36543931123	-2.69897000434	-0.0969100130081	-0.164246032481	3.71841864183	1.58534791109	-4.0	-1.77288491741	-1.0	-0.0222763947112	4.6558104945	
Heptranchias perlo	5bbba314cd44233980889b7db2091025	1.42439155441	0.812913356643	-8.26584048676	2.92307399897	-2.69897000434	-0.0969100130081	-0.38174265516	3.71816940539	5.08386080087	-4.0	-0.959397659886	-1.0	-0.0222763947112	6.94551782208	
Heterodontus portusjacksoni	ea78d30dbfede623a294ebd70f2efd83	1.18212921405	0.812913356643	-7.70377371274	2.62141102826	-2.69897000434	-0.0969100130081	-0.409492537991	3.71891668601	4.97057930571	-4.0	-1.66434154771	-1.0	-0.0222763947112	6.89614025144	
Heteronotia binoei	9d3714402a1d195c7d861c0b1f840bd8	1.61489721603	0.812913356643	-9.86391390262	2.04233526501	-2.69897000434	-0.0969100130081	-0.30653687278	3.89348434622	3.00987563371	-4.0	-1.759700418	-1.0	-0.0222763947112	4.17464119266	
Himantopus mexicanus	1f5847657f78653cd8be6e4f828a1c0d	2.58907678657	0.812913356643	-31.6032777215	3.29358572252	-2.69897000434	-0.0969100130081	-0.026428837942	3.86442445084	3.68421679514	-2.0	-0.326591996471	-1.0	-0.0222763947112	6.0909630766	
Hiodon tergisus	9847fa5ddb60890788abf8bc9ce686a5	2.39794000867	0.812913356643	-7.51698357986	3.09679186884	-2.69897000434	-0.0969100130081	-0.131120553763	3.71800316827	0.204662511748	-4.0	-1.09859617317	-1.0	-0.0222763947112	6.01661554756	
